species,source,type
Hybognathus placitus,Fish Tree of Life,backbone tree
Hybognathus regius,Fish Tree of Life,backbone tree
Hybopsis amblops,Fish Tree of Life,backbone tree
Hybopsis amnis,Fish Tree of Life,backbone tree
Hybopsis hypsinotus,Fish Tree of Life,backbone tree
Hybopsis lineapunctata,Fish Tree of Life,backbone tree
Hybopsis rubrifrons,Fish Tree of Life,backbone tree
Hybopsis winchelli,Fish Tree of Life,backbone tree
Hypentelium etowanum,Fish Tree of Life,backbone tree
Hypentelium nigricans,Fish Tree of Life,backbone tree
Hypentelium roanokense,Fish Tree of Life,backbone tree
Hypophthalmichthys molitrix,Fish Tree of Life,backbone tree
Hypophthalmichthys nobilis,Fish Tree of Life,backbone tree
Hysterocarpus traskii,Fish Tree of Life,backbone tree
Ictalurus furcatus,Fish Tree of Life,backbone tree
Ictalurus lupus,Fish Tree of Life,backbone tree
Ictalurus punctatus,Fish Tree of Life,backbone tree
Ictiobus bubalus,Fish Tree of Life,backbone tree
Ictiobus cyprinellus,Fish Tree of Life,backbone tree
Ictiobus niger,Fish Tree of Life,backbone tree
Iotichthys phlegethontis,Fish Tree of Life,backbone tree
Jordanella floridae,Fish Tree of Life,backbone tree
Labidesthes sicculus,Fish Tree of Life,backbone tree
Lagodon rhomboides,Fish Tree of Life,backbone tree
Lavinia exilicauda,Fish Tree of Life,backbone tree
Leiostomus xanthurus,Fish Tree of Life,backbone tree
Lepidomeda vittata,Fish Tree of Life,backbone tree
Lepisosteus oculatus,Fish Tree of Life,backbone tree
Lepisosteus osseus,Fish Tree of Life,backbone tree
Lepisosteus platostomus,Fish Tree of Life,backbone tree
Lepisosteus platyrhincus,Fish Tree of Life,backbone tree
Lepomis auritus,Fish Tree of Life,backbone tree
Lepomis cyanellus,Fish Tree of Life,backbone tree
Lepomis gibbosus,Fish Tree of Life,backbone tree
Lepomis gulosus,Fish Tree of Life,backbone tree
Lepomis humilis,Fish Tree of Life,backbone tree
Lepomis macrochirus,Fish Tree of Life,backbone tree
Lepomis marginatus,Fish Tree of Life,backbone tree
Lepomis megalotis,Fish Tree of Life,backbone tree
Lepomis microlophus,Fish Tree of Life,backbone tree
Lepomis miniatus,Fish Tree of Life,backbone tree
Lepomis punctatus,Fish Tree of Life,backbone tree
Lepomis symmetricus,Fish Tree of Life,backbone tree
Lota lota,Fish Tree of Life,backbone tree
Lucania goodei,Fish Tree of Life,backbone tree
Lucania parva,Fish Tree of Life,backbone tree
Lutjanus griseus,Fish Tree of Life,backbone tree
Luxilus albeolus,Fish Tree of Life,backbone tree
Luxilus cardinalis,Fish Tree of Life,backbone tree
Luxilus cerasinus,Fish Tree of Life,backbone tree
Luxilus chrysocephalus,Fish Tree of Life,backbone tree
Luxilus coccogenis,Fish Tree of Life,backbone tree
Luxilus cornutus,Fish Tree of Life,backbone tree
Luxilus pilsbryi,Fish Tree of Life,backbone tree
Luxilus zonatus,Fish Tree of Life,backbone tree
Luxilus zonistius,Fish Tree of Life,backbone tree
Lythrurus alegnotus,Fish Tree of Life,backbone tree
Lythrurus ardens,Fish Tree of Life,backbone tree
Lythrurus atrapiculus,Fish Tree of Life,backbone tree
Lythrurus bellus,Fish Tree of Life,backbone tree
Lythrurus fasciolaris,Fish Tree of Life,backbone tree
Lythrurus fumeus,Fish Tree of Life,backbone tree
Lythrurus lirus,Fish Tree of Life,backbone tree
Lythrurus matutinus,Fish Tree of Life,backbone tree
Lythrurus roseipinnis,Fish Tree of Life,backbone tree
Lythrurus snelsoni,Fish Tree of Life,backbone tree
Lythrurus umbratilis,Fish Tree of Life,backbone tree
Macrhybopsis aestivalis,Fish Tree of Life,backbone tree
Macrhybopsis gelida,Fish Tree of Life,backbone tree
Macrhybopsis hyostoma,Fish Tree of Life,backbone tree
Macrhybopsis marconis,Fish Tree of Life,backbone tree
Macrhybopsis storeriana,Fish Tree of Life,backbone tree
Margariscus margarita,Fish Tree of Life,backbone tree
Meda fulgida,Fish Tree of Life,backbone tree
Megalops atlanticus,Fish Tree of Life,backbone tree
Membras martinica,Fish Tree of Life,backbone tree
Menidia beryllina,Fish Tree of Life,backbone tree
Menidia menidia,Fish Tree of Life,backbone tree
Microgadus tomcod,Fish Tree of Life,backbone tree
Micropogonias undulatus,Fish Tree of Life,backbone tree
Micropterus notius,Fish Tree of Life,backbone tree
Minytrema melanops,Fish Tree of Life,backbone tree
Misgurnus anguillicaudatus,Fish Tree of Life,backbone tree
Monopterus albus,Fish Tree of Life,backbone tree
Morone americana,Fish Tree of Life,backbone tree
Morone chrysops,Fish Tree of Life,backbone tree
Morone mississippiensis,Fish Tree of Life,backbone tree
Morone saxatilis,Fish Tree of Life,backbone tree
Moxostoma anisurum,Fish Tree of Life,backbone tree
Moxostoma ariommum,Fish Tree of Life,backbone tree
Moxostoma breviceps,Fish Tree of Life,backbone tree
Moxostoma carinatum,Fish Tree of Life,backbone tree
Moxostoma cervinum,Fish Tree of Life,backbone tree
Moxostoma collapsum,Fish Tree of Life,backbone tree
Moxostoma congestum,Fish Tree of Life,backbone tree
Moxostoma duquesnei,Fish Tree of Life,backbone tree
Moxostoma erythrurum,Fish Tree of Life,backbone tree
Moxostoma lachneri,Fish Tree of Life,backbone tree
Moxostoma macrolepidotum,Fish Tree of Life,backbone tree
Moxostoma pappillosum,Fish Tree of Life,backbone tree
Moxostoma pisolabrum,Fish Tree of Life,backbone tree
Moxostoma poecilurum,Fish Tree of Life,backbone tree
Moxostoma robustum,Fish Tree of Life,backbone tree
Moxostoma rupiscartes,Fish Tree of Life,backbone tree
Moxostoma valenciennesi,Fish Tree of Life,backbone tree
Mugil cephalus,Fish Tree of Life,backbone tree
Mugil curema,Fish Tree of Life,backbone tree
Mylocheilus caurinus,Fish Tree of Life,backbone tree
Mylopharodon conocephalus,Fish Tree of Life,backbone tree
Mylopharyngodon piceus,Fish Tree of Life,backbone tree
Myrophis punctatus,Fish Tree of Life,backbone tree
Nocomis asper,Fish Tree of Life,backbone tree
Nocomis biguttatus,Fish Tree of Life,backbone tree
Nocomis effusus,Fish Tree of Life,backbone tree
Nocomis leptocephalus,Fish Tree of Life,backbone tree
Nocomis micropogon,Fish Tree of Life,backbone tree
Nocomis platyrhynchus,Fish Tree of Life,backbone tree
Nocomis raneyi,Fish Tree of Life,backbone tree
Notemigonus crysoleucas,Fish Tree of Life,backbone tree
Notropis altipinnis,Fish Tree of Life,backbone tree
Notropis amabilis,Fish Tree of Life,backbone tree
Notropis ammophilus,Fish Tree of Life,backbone tree
Notropis amoenus,Fish Tree of Life,backbone tree
Notropis anogenus,Fish Tree of Life,backbone tree
Notropis ariommus,Fish Tree of Life,backbone tree
Notropis asperifrons,Fish Tree of Life,backbone tree
Notropis atherinoides,Fish Tree of Life,backbone tree
Notropis baileyi,Fish Tree of Life,backbone tree
Notropis bifrenatus,Fish Tree of Life,backbone tree
Notropis blennius,Fish Tree of Life,backbone tree
Notropis boops,Fish Tree of Life,backbone tree
Notropis buccatus,Fish Tree of Life,backbone tree
Notropis buchanani,Fish Tree of Life,backbone tree
Notropis cahabae,Fish Tree of Life,backbone tree
Notropis candidus,Fish Tree of Life,backbone tree
Notropis chalybaeus,Fish Tree of Life,backbone tree
Notropis chihuahua,Fish Tree of Life,backbone tree
Notropis chiliticus,Fish Tree of Life,backbone tree
Notropis chlorocephalus,Fish Tree of Life,backbone tree
Notropis chrosomus,Fish Tree of Life,backbone tree
Notropis dorsalis,Fish Tree of Life,backbone tree
Notropis edwardraneyi,Fish Tree of Life,backbone tree
Notropis girardi,Fish Tree of Life,backbone tree
Notropis harperi,Fish Tree of Life,backbone tree
Notropis heterodon,Fish Tree of Life,backbone tree
Notropis heterolepis,Fish Tree of Life,backbone tree
Notropis hudsonius,Fish Tree of Life,backbone tree
Notropis hypsilepis,Fish Tree of Life,backbone tree
Notropis jemezanus,Fish Tree of Life,backbone tree
Notropis leuciodus,Fish Tree of Life,backbone tree
Notropis longirostris,Fish Tree of Life,backbone tree
Notropis lutipinnis,Fish Tree of Life,backbone tree
Notropis maculatus,Fish Tree of Life,backbone tree
Notropis mekistocholas,Fish Tree of Life,backbone tree
Notropis micropteryx,Fish Tree of Life,backbone tree
Notropis nubilus,Fish Tree of Life,backbone tree
Notropis oxyrhynchus,Fish Tree of Life,backbone tree
Notropis ozarcanus,Fish Tree of Life,backbone tree
Notropis percobromus,Fish Tree of Life,backbone tree
Notropis petersoni,Fish Tree of Life,backbone tree
Notropis photogenis,Fish Tree of Life,backbone tree
Notropis potteri,Fish Tree of Life,backbone tree
Notropis procne,Fish Tree of Life,backbone tree
